Date,1M LIBOR Rate
1986-01-31,12.8125
1986-02-28,12.6875
1986-03-27,11.9375
1986-04-30,10.875
1986-05-30,10.125
1986-06-30,10.125
1986-07-31,10.0469
1986-08-29,10.125
1986-09-30,10.625
1986-10-31,11.0
1986-11-28,11.1563
1986-12-31,11.25
1987-01-30,11.125
1987-02-27,11.1875
1987-03-31,10.0625
1987-04-30,9.5625
1987-05-29,9.0
1987-06-30,9.1875
1987-07-31,8.875
1987-08-28,9.875
1987-09-30,10.125
1987-10-30,9.25
1987-11-30,9.0
1987-12-31,7.125
1988-01-29,8.5625
1988-02-29,9.0
1988-03-31,8.5625
1988-04-29,8.1875
1988-05-31,7.42188
1988-06-30,9.42188
1988-07-29,10.51563
1988-08-31,12.125
1988-09-30,11.9375
1988-10-31,12.0
1988-11-30,13.03125
1988-12-30,13.03125
1989-01-31,13.125
1989-02-28,13.25
1989-03-31,12.9375
1989-04-28,12.75
1989-05-30,13.75
1989-06-30,14.0
1989-07-31,13.9375
1989-08-31,14.0
1989-09-29,14.78125
1989-10-31,15.25
1989-11-30,15.1875
1989-12-27,15.125
1990-01-31,15.0625
1990-02-28,15.0625
1990-03-30,15.0
1990-04-30,15.125
1990-05-31,15.125
1990-06-29,15.0
1990-07-31,15.0625
1990-08-31,15.0
1990-09-28,15.0
1990-10-31,14.0
1990-11-30,14.0625
1990-12-31,14.375
1991-01-31,14.125
1991-02-28,13.3125
1991-03-28,12.875
1991-04-30,12.0
1991-05-31,11.5625
1991-06-28,11.57813
1991-07-31,11.1875
1991-08-30,11.0625
1991-09-30,10.75
1991-10-31,10.5625
1991-11-29,10.75
1991-12-30,10.9375
1992-01-31,10.78906
1992-02-28,10.61719
1992-03-31,10.5625
1992-04-30,10.75
1992-05-29,10.125
1992-06-30,10.1875
1992-07-31,10.25
1992-08-28,10.17188
1992-09-30,9.25
1992-10-30,8.25
1992-11-30,7.5
1992-12-31,6.98438
1993-01-29,6.60156
1993-02-26,6.41406
1993-03-31,6.0
1993-04-30,6.125
1993-05-28,5.83594
1993-06-30,6.0625
1993-07-30,6.0
1993-08-31,6.03125
1993-09-30,6.125
1993-10-29,5.95313
1993-11-30,5.4375
1993-12-31,5.5
1994-01-31,5.5
1994-02-28,5.1875
1994-03-31,5.1875
1994-04-29,5.0625
1994-05-31,5.0625
1994-06-30,5.0625
1994-07-29,5.3125
1994-08-31,5.0625
1994-09-30,5.4375
1994-10-31,5.5625
1994-11-30,5.6875
1994-12-30,6.0625
1995-01-31,6.4375
1995-02-28,6.5
1995-03-31,6.42969
1995-04-28,6.5625
1995-05-31,6.375
1995-06-30,6.6875
1995-07-31,6.875
1995-08-31,6.75
1995-09-29,6.8125
1995-10-31,6.77344
1995-11-30,6.78125
1995-12-29,6.5625
1996-01-31,6.375
1996-02-29,6.3125
1996-03-29,6.07031
1996-04-30,6.0625
1996-05-31,6.09375
1996-06-28,5.83594
1996-07-31,5.8125
1996-08-30,5.81641
1996-09-30,5.91406
1996-10-31,6.17188
1996-11-29,6.125
1996-12-31,6.25
1997-01-31,6.22656
1997-02-28,6.125
1997-03-27,6.14844
1997-04-30,6.27344
1997-05-30,6.44141
1997-06-30,6.6875
1997-07-31,6.9375
1997-08-29,7.21875
1997-09-30,7.1875
1997-10-31,7.25391
1997-11-28,7.52734
1997-12-31,7.54297
1998-01-30,7.5
1998-02-27,7.51172
1998-03-30,7.5625
1998-04-30,7.44141
1998-05-29,7.45703
1998-06-30,7.625
1998-07-31,7.625
1998-08-28,7.55469
1998-09-30,7.44141
1998-10-30,7.37563
1998-11-30,6.935
1998-12-31,6.34313
1999-01-29,6.0075
1999-02-26,5.62625
1999-03-31,5.39453
1999-04-30,5.35828
1999-05-28,5.37813
1999-06-30,5.14031
1999-07-30,5.25
1999-08-31,5.07438
1999-09-30,5.43344
1999-10-29,5.43094
1999-11-30,5.50375
1999-12-30,5.40813
2000-01-31,6.10609
2000-02-29,6.15563
2000-03-31,6.05016
2000-04-28,6.18688
2000-05-31,6.12438
2000-06-30,6.07031
2000-07-31,6.08625
2000-08-31,6.06938
2000-09-29,6.10172
2000-10-31,6.0575
2000-11-30,5.98
2000-12-29,5.85344
2001-01-31,5.89953
2001-02-28,5.72219
2001-03-30,5.68844
2001-04-30,5.42172
2001-05-31,5.30563
2001-06-29,5.22453
2001-07-31,5.25125
2001-08-31,4.89078
2001-09-28,4.69875
2001-10-31,4.25375
2001-11-30,4.02625
2001-12-31,4.14781
2002-01-31,4.03298
2002-02-28,4.03016
2002-03-28,4.02
2002-04-30,4.04625
2002-05-31,4.075
2002-06-28,3.96094
2002-07-31,3.93344
2002-08-30,4.01125
2002-09-30,3.94063
2002-10-31,3.94219
2002-11-29,4.0
2002-12-31,4.055
2003-01-31,3.99375
2003-02-28,3.70625
2003-03-31,3.705
2003-04-30,3.63063
