Date,Forcasted Correlation,Forcasted Volatility RTR,Forcasted Volatility Future
28/02/1995,-0.312967796,0.021614937,0.001864915
31/03/1995,-0.999999816,0.014616322,0.000668003
30/04/1995,0.999999519,0.016082681,0.001622366
31/05/1995,-7.97875E-05,0.016411802,0.001747262
30/06/1995,-6.07795E-05,0.016515288,0.001907176
31/07/1995,0.999995179,0.01656028,0.002388176
31/08/1995,-0.999995514,0.016574618,0.001907997
30/09/1995,-9.92231E-05,0.016567013,0.001729481
31/10/1995,-0.000180121,0.01656459,0.001611927
30/11/1995,-0.999999651,0.02821223,0.001587095
31/12/1995,0.999988634,0.021155716,0.001571586
31/01/1996,-0.999993185,0.018165393,0.002016707
29/02/1996,-0.999999975,0.022967211,0.001907176
31/03/1996,-0.999999817,0.024154138,0.001611604
30/04/1996,-0.999999529,0.019514731,0.002099676
31/05/1996,-0.999984475,0.020920273,0.001571577
30/06/1996,0.999999325,0.020385791,0.001581134
31/07/1996,-0.999998743,0.017931411,0.002157967
31/08/1996,-0.000605132,0.017011254,0.001576655
30/09/1996,0.999963662,0.020493548,0.001571097
31/10/1996,0.999999747,0.018479023,0.001667345
30/11/1996,0.999995834,0.017213985,0.002156069
31/12/1996,-0.000301222,0.016773464,0.001593846
31/01/1997,-0.999999947,0.018004312,0.001727072
28/02/1997,0.99999872,0.021345611,0.001576706
31/03/1997,0.9999995,0.018461816,0.001675858
30/04/1997,0.999993122,0.017206761,0.00157669
31/05/1997,-0.999996405,0.016787226,0.001727146
30/06/1997,-0.999999868,0.017035699,0.001844072
31/07/1997,-0.999999989,0.031748161,0.002115933
31/08/1997,-0.999999968,0.027227032,0.002133655
30/09/1997,-0.999999982,0.028390448,0.002262832
31/10/1997,0.999998703,0.024102808,0.001581389
30/11/1997,-0.999999005,0.019382547,0.001617571
31/12/1997,-0.999993669,0.017522487,0.002234298
31/01/1998,-0.999995853,0.01877803,0.001573576
28/02/1998,0.999999401,0.017700275,0.001590778
31/03/1998,-0.999996433,0.017035653,0.001572421
30/04/1998,-0.000199913,0.016715354,0.001598559
31/05/1998,-8.51819E-05,0.016612004,0.00172227
30/06/1998,-0.000712385,0.01657894,0.001573568
31/07/1998,-6.05168E-05,0.016568391,0.001850571
31/08/1998,-4.70562E-05,0.021035731,0.001570938
30/09/1998,0.99999876,0.018198723,0.001623606
31/10/1998,0.999999477,0.017269391,0.001704091
30/11/1998,-0.999998698,0.016834127,0.001616951
31/12/1998,-0.999999993,0.023216871,0.00300671
31/01/1999,-0.999999994,0.040545887,0.003770197
28/02/1999,-0.999999969,0.037601879,0.002489484
31/03/1999,-0.999999969,0.030688404,0.002691846
30/04/1999,-0.999999973,0.042292148,0.002053952
31/05/1999,-0.999995324,0.027553938,0.001584451
30/06/1999,0.999998169,0.021620005,0.001574999
31/07/1999,-0.999998751,0.018393877,0.002074236
31/08/1999,0.999995805,0.017185932,0.001690022
30/09/1999,-6.36468E-05,0.016764296,0.00186161
31/10/1999,-3.43545E-05,0.016627711,0.002573538
30/11/1999,0.999762655,0.018366064,0.001571002
31/12/1999,-0.999999821,0.017593391,0.001624807
31/01/2000,0.999999916,0.024511467,0.001662894
29/02/2000,-0.999999191,0.019580257,0.00427548
31/03/2000,-0.999998429,0.025590747,0.001596463
30/04/2000,0.999999917,0.026325932,0.001683651
31/05/2000,-0.999990423,0.020204932,0.001755814
30/06/2000,0.999993349,0.017818281,0.001611443
31/07/2000,-0.000195295,0.016973337,0.001601309
31/08/2000,-0.00065867,0.016695143,0.001573597
30/09/2000,-0.999995818,0.01662003,0.001573918
31/10/2000,0.999999008,0.016812984,0.001581857
30/11/2000,-0.000234469,0.016643366,0.001591306
31/12/2000,-0.000134646,0.016588959,0.001632636
31/01/2001,-0.999999779,0.016805635,0.001730342
28/02/2001,-0.999996422,0.01665582,0.001592937
31/03/2001,-5.90014E-05,0.016592941,0.001870648
30/04/2001,-0.999999351,0.026240002,0.001582739
31/05/2001,0.999998942,0.02027573,0.002188754
30/06/2001,-0.999999929,0.026508333,0.001704525
31/07/2001,-0.99999991,0.026197004,0.001637335
31/08/2001,-0.000405392,0.020139446,0.001578268
30/09/2001,-0.999995455,0.01779811,0.002582914
31/10/2001,-0.999999963,0.026439768,0.00191096
30/11/2001,-0.999999986,0.026980532,0.002966483
31/12/2001,-0.999999963,0.029914895,0.002026694
31/01/2002,0.999999919,0.040459951,0.001712822
28/02/2002,-0.999987506,0.026634351,0.001698427
31/03/2002,-0.004034247,0.020321396,0.001571018
30/04/2002,-0.99999391,0.017871481,0.001571973
31/05/2002,-0.000401213,0.016991148,0.001577837
30/06/2002,-0.999997825,0.016727273,0.001579214
31/07/2002,-9.27082E-05,0.016615826,0.001696602
31/08/2002,-0.000413593,0.01658016,0.001578498
30/09/2002,-0.000136038,0.01656878,0.001630452
31/10/2002,-0.999998035,0.016591632,0.001620198
30/11/2002,-0.999764841,0.016599001,0.001570962
31/12/2002,0.999997279,0.016601254,0.001604068
31/01/2003,0.999997233,0.016602066,0.001600991
28/02/2003,-0.000175059,0.016575768,0.001608168
31/03/2003,-0.99999792,0.016594044,0.002252163
30/04/2003,-0.999253927,0.021180065,0.001570953
31/05/2003,0.999998882,0.018264689,0.001625138
30/06/2003,0.999996919,0.017150883,0.00160528
31/07/2003,-0.000515377,0.016752856,0.001575301
31/08/2003,-4.1262E-05,0.016624036,0.002128484
30/09/2003,0.999999962,0.024005154,0.001955109
31/10/2003,0.999995312,0.019275164,0.00162327
30/11/2003,0.99999673,0.017501714,0.001598171
31/12/2003,-0.999999491,0.016986374,0.001606092
31/01/2004,-0.99999994,0.031675628,0.001659203
29/02/2004,-0.000139125,0.022508189,0.001633742
31/03/2004,-7.8563E-05,0.018664224,0.001754936
30/04/2004,-0.999999861,0.027084709,0.001616924
31/05/2004,-0.000129122,0.020510177,0.001640046
30/06/2004,-0.999996639,0.017938814,0.001908468
31/07/2004,-0.999999971,0.029168487,0.001811752
31/08/2004,-0.99999996,0.029937918,0.001746344
30/09/2004,-0.000123839,0.02173719,0.001658087
31/10/2004,0.999991766,0.029169061,0.001571719
30/11/2004,0.99999377,0.021461981,0.001573233
31/12/2004,-0.999991524,0.018284968,0.001571719
31/01/2005,-0.000269477,0.017130747,0.001586185
28/02/2005,0.999995026,0.016765559,0.001577959
31/03/2005,-0.00027491,0.016628116,0.001585707
30/04/2005,-0.001870228,0.016584085,0.001571261
31/05/2005,-0.999973868,0.016589445,0.001571134
30/06/2005,-0.000667493,0.016571741,0.001573431
31/07/2005,-0.000298569,0.016566096,0.001583397
31/08/2005,-0.999997169,0.016583659,0.001853551
30/09/2005,-0.9999996,0.016743811,0.00160208
31/10/2005,0.999994702,0.022062258,0.001572083
30/11/2005,-0.999997054,0.018952253,0.001572685
31/12/2005,-0.001524618,0.017360283,0.001571417
31/01/2006,-0.000155038,0.016821436,0.001616546
28/02/2006,0.999996696,0.016667026,0.001618292
31/03/2006,0.999994937,0.016617461,0.00157607
30/04/2006,-0.999998804,0.016911824,0.001575252
31/05/2006,-0.000313818,0.016675242,0.001582246
30/06/2006,0.999995829,0.016619762,0.001581033
31/07/2006,-0.000395276,0.016581417,0.001578127
31/08/2006,-0.003106352,0.016569181,0.001571054
30/09/2006,-4.45985E-05,0.01656528,0.002055204
31/10/2006,-0.999999332,0.026524479,0.001584784
30/11/2006,-0.99999923,0.020416231,0.001673767
31/12/2006,-0.999998964,0.017951715,0.001653027
31/01/2007,-0.999999951,0.027943635,0.001681657
28/02/2007,-0.99999903,0.020998158,0.001871259
31/03/2007,0.999991984,0.023109532,0.001571971
30/04/2007,0.999992064,0.018911269,0.001591727
31/05/2007,-0.999999544,0.017486615,0.001667576
30/06/2007,-0.999996326,0.016879068,0.001668481
31/07/2007,-0.999999989,0.023713986,0.002140956
31/08/2007,-0.999983814,0.019186788,0.001571525
30/09/2007,-0.999999993,0.024936123,0.00433959
31/10/2007,0.999999561,0.019923502,0.002967565
30/11/2007,-0.000125379,0.017703383,0.001805712
31/12/2007,0.999998373,0.016990344,0.001611308
31/01/2008,-0.999999761,0.016925214,0.001757972
29/02/2008,-0.999999986,0.020396635,0.002714145
31/03/2008,0.999987746,0.017888171,0.001575612
30/04/2008,0.999999973,0.025038185,0.001935687
31/05/2008,-0.999992066,0.019677828,0.0024067
30/06/2008,-0.999980736,0.027058481,0.001571621
31/07/2008,0.999998416,0.020626576,0.00159061
31/08/2008,-8.83534E-05,0.017958102,0.001710696
30/09/2008,0.999993911,0.017037469,0.001577378
31/10/2008,-0.99999916,0.016785871,0.004363983
30/11/2008,-0.999999811,0.01691237,0.002876637
31/12/2008,-0.999999999,0.046818213,0.013756205
31/01/2009,-0.999999967,0.085639955,0.00630584
28/02/2009,-0.999999971,0.081421042,0.003538575
31/03/2009,-0.999999912,0.061961392,0.001860075
30/04/2009,-0.999999983,0.053958204,0.00259065
31/05/2009,-0.999999952,0.045797831,0.00186804
30/06/2009,0.999992156,0.029277004,0.001839968
31/07/2009,0.999997115,0.027132046,0.001573804
31/08/2009,0.999999842,0.02971496,0.001616177
30/09/2009,-0.999999753,0.031745163,0.001593009
31/10/2009,-0.999998876,0.022700399,0.001579673
30/11/2009,-0.001253845,0.018738247,0.001571652
31/12/2009,-0.998425821,0.019722039,0.001570941
31/01/2010,0.999893691,0.017681645,0.001570996
28/02/2010,-0.999828955,0.022416164,0.001570971
31/03/2010,0.999998164,0.019032683,0.001575399
30/04/2010,0.999988424,0.017437535,0.001571653
31/05/2010,0.999983849,0.018080359,0.001571303
30/06/2010,0.999995575,0.018310119,0.001572326
31/07/2010,0.999919585,0.017349445,0.001571012
31/08/2010,-0.002907576,0.016817873,0.001571069
30/09/2010,0.99995445,0.016863441,0.001571069
31/10/2010,-0.993793672,0.016713913,0.001570939
30/11/2010,0.993718488,0.016829372,0.001570939
31/12/2010,-0.001090331,0.016648642,0.001571872
31/01/2011,-0.000793362,0.016590645,0.001572705
28/02/2011,-0.999984624,0.024198318,0.001571303
31/03/2011,-0.999997103,0.019723449,0.001572705
30/04/2011,-0.001342034,0.017631865,0.001571556
31/05/2011,0.999936859,0.019214301,0.001571029
30/06/2011,-0.008714993,0.017451821,0.001570952
31/07/2011,-0.99998334,0.018108675,0.001571268
31/08/2011,-0.999318184,0.018283543,0.001570946
30/09/2011,-0.999998516,0.017179031,0.001578689
31/10/2011,-0.999998685,0.016811638,0.001579804
30/11/2011,-0.999996853,0.01684088,0.001572582
31/12/2011,0.999997901,0.016701551,0.001583638
31/01/2012,0.999997488,0.016657152,0.001578572
29/02/2012,0.999784713,0.018302793,0.001570965
31/03/2012,-0.999999404,0.017872516,0.001579538
30/04/2012,-0.999999679,0.017747326,0.001587549
31/05/2012,-0.001061186,0.016949635,0.001571945
30/06/2012,0.999997306,0.018404006,0.001573226
31/07/2012,0.999999694,0.018798,0.001598023
31/08/2012,0.999999247,0.017488332,0.001600919
30/09/2012,0.99999882,0.017276093,0.001578187
31/10/2012,0.999997151,0.016976518,0.001573796
30/11/2012,0.999996202,0.017103123,0.001572702
31/12/2012,-0.002912717,0.016737292,0.001571069
31/01/2013,0.999935549,0.017022242,0.001571029
28/02/2013,0.998462374,0.017106587,0.001570941
31/03/2013,-0.312967796,0.01673842,0.001570938
30/04/2013,0.999955516,0.017310765,0.001571069
31/05/2013,0.99997066,0.016849539,0.001571171
30/06/2013,-0.999615696,0.017052023,0.001570952
31/07/2013,-0.017293901,0.016720671,0.001570941
31/08/2013,-0.999908539,0.016657775,0.001570996
30/09/2013,0.999595798,0.016637887,0.001570952
31/10/2013,-0.998498642,0.016631748,0.001570941
30/11/2013,0.999945773,0.016763534,0.001571048
31/12/2013,-0.994129144,0.017321609,0.001570939
31/01/2014,0.99960345,0.01697994,0.001570952
28/02/2014,0.999978879,0.01687119,0.001571234
31/03/2014,0.999603479,0.016834824,0.001570952
30/04/2014,-0.002055121,0.016650399,0.001571201
31/05/2014,-0.034986006,0.016591207,0.001570939
30/06/2014,0.998442468,0.016615488,0.001570941
31/07/2014,0.999982178,0.018075612,0.001571266
31/08/2014,-0.999987663,0.02027031,0.001571387
30/09/2014,-0.157265645,0.01782838,0.001570938
31/10/2014,-0.999986517,0.018915781,0.001571347
30/11/2014,0.998387112,0.01738724,0.001570941
31/12/2014,-0.999969321,0.017469671,0.001571117
31/01/2015,0.999594529,0.016898811,0.001570952
28/02/2015,0.999609465,0.01917325,0.001570952
31/03/2015,0.999922018,0.018381529,0.001571012
30/04/2015,-0.004981484,0.017163641,0.001570982
31/05/2015,-0.999969955,0.016921258,0.001571116
30/06/2015,0.999287727,0.016841851,0.001570946
31/07/2015,0.999608832,0.0180616,0.001570952
31/08/2015,0.998893775,0.017095934,0.001570943
30/09/2015,-0.999532354,0.016900133,0.00157095
31/10/2015,-0.99987716,0.016838746,0.001570982
30/11/2015,-0.999904538,0.017306111,0.001570996
31/12/2015,-0.999988715,0.017789817,0.00157142
31/01/2016,-0.034985386,0.016963821,0.001570939
29/02/2016,-0.999984836,0.018627622,0.001571302
31/03/2016,0.999743278,0.017404112,0.00157096
30/04/2016,0.999927246,0.016875635,0.001571025
31/05/2016,0.999954624,0.018538203,0.001571065
30/06/2016,0.999989675,0.019494735,0.001571507
31/07/2016,-0.999941455,0.018156745,0.001571032
31/08/2016,0.999999644,0.017446035,0.001632261
30/09/2016,-0.999999975,0.033660775,0.00178185
31/10/2016,-0.999978716,0.024550085,0.001571266
30/11/2016,-0.002916819,0.019467114,0.001571068
31/12/2016,0.99996491,0.018240466,0.001571106
31/01/2017,-0.999976268,0.018202488,0.00157117
28/02/2017,-0.999977459,0.036812271,0.001571188
31/03/2017,-0.998063807,0.028628862,0.001570941
30/04/2017,-0.999956023,0.023819709,0.001571064
31/05/2017,0.999748504,0.037492253,0.00157096
30/06/2017,-0.999955504,0.044115702,0.001571064
31/07/2017,-0.999318691,0.029091662,0.001570946
31/08/2017,0.894667641,0.03562073,0.001570938
30/09/2017,-0.99986509,0.033021325,0.001570979
31/10/2017,0.999949414,0.023148764,0.001571091
30/11/2017,-7.32288E-05,0.018912211,0.001766129
31/12/2017,-0.999999805,0.017734814,0.00164338
31/01/2018,-0.999942069,0.029739869,0.001571044
28/02/2018,-0.999855874,0.044213113,0.001570977
31/03/2018,-0.999908899,0.028567728,0.001570996
30/04/2018,0.99999689,0.023964392,0.001572932
31/05/2018,-0.999943119,0.019613376,0.001571034
30/06/2018,-0.999997668,0.017638611,0.001574183
31/07/2018,0.999975221,0.021180046,0.001571171
31/08/2018,-0.999999896,0.018898873,0.00184727
30/09/2018,-0.999999563,0.036694639,0.001588074
31/10/2018,-0.999677479,0.025292981,0.001570955
30/11/2018,-0.999650982,0.02105485,0.001570954
31/12/2018,0.999994042,0.01873251,0.001572009
